"Postcode","District","Parish","Country"
"FK1 1AA","Falkirk","","Scotland"
"FK1 1AD","Falkirk","","Scotland"
"FK1 1AE","Falkirk","","Scotland"
"FK1 1AF","Falkirk","","Scotland"
"FK1 1AG","Falkirk","","Scotland"
"FK1 1AT","Falkirk","","Scotland"
"FK1 1AZ","Falkirk","","Scotland"
"FK1 1BA","Falkirk","","Scotland"
"FK1 1BB","Falkirk","","Scotland"
"FK1 1BD","Falkirk","","Scotland"
"FK1 1BE","Falkirk","","Scotland"
"FK1 1BF","Falkirk","","Scotland"
"FK1 1BG","Falkirk","","Scotland"
"FK1 1BH","Falkirk","","Scotland"
"FK1 1BJ","Falkirk","","Scotland"
"FK1 1BL","Falkirk","","Scotland"
"FK1 1BN","Falkirk","","Scotland"
"FK1 1BP","Falkirk","","Scotland"
"FK1 1BQ","Falkirk","","Scotland"
"FK1 1BS","Falkirk","","Scotland"
"FK1 1BT","Falkirk","","Scotland"
"FK1 1BU","Falkirk","","Scotland"
"FK1 1BW","Falkirk","","Scotland"
"FK1 1BZ","Falkirk","","Scotland"
"FK1 1DD","Falkirk","","Scotland"
"FK1 1DE","Falkirk","","Scotland"
"FK1 1DF","Falkirk","","Scotland"
"FK1 1DG","Falkirk","","Scotland"
"FK1 1DH","Falkirk","","Scotland"
"FK1 1DJ","Falkirk","","Scotland"
"FK1 1DL","Falkirk","","Scotland"
"FK1 1DN","Falkirk","","Scotland"
"FK1 1DQ","Falkirk","","Scotland"
"FK1 1DU","Falkirk","","Scotland"
"FK1 1DW","Falkirk","","Scotland"
"FK1 1DX","Falkirk","","Scotland"
"FK1 1DY","Falkirk","","Scotland"
"FK1 1DZ","Falkirk","","Scotland"
"FK1 1EA","Falkirk","","Scotland"
"FK1 1EB","Falkirk","","Scotland"
"FK1 1ED","Falkirk","","Scotland"
"FK1 1EE","Falkirk","","Scotland"
"FK1 1EF","Falkirk","","Scotland"
"FK1 1EG","Falkirk","","Scotland"
"FK1 1EH","Falkirk","","Scotland"
"FK1 1EJ","Falkirk","","Scotland"
