"Postcode","District","Parish","Country"
"KA1 1AD","East Ayrshire","","Scotland"
"KA1 1AE","East Ayrshire","","Scotland"
"KA1 1AF","East Ayrshire","","Scotland"
"KA1 1AH","East Ayrshire","","Scotland"
"KA1 1AR","East Ayrshire","","Scotland"
"KA1 1AX","East Ayrshire","","Scotland"
"KA1 1AY","East Ayrshire","","Scotland"
"KA1 1BA","East Ayrshire","","Scotland"
"KA1 1BB","East Ayrshire","","Scotland"
"KA1 1BD","East Ayrshire","","Scotland"
"KA1 1BE","East Ayrshire","","Scotland"
"KA1 1BF","East Ayrshire","","Scotland"
"KA1 1BG","East Ayrshire","","Scotland"
"KA1 1BH","East Ayrshire","","Scotland"
"KA1 1BJ","East Ayrshire","","Scotland"
"KA1 1BL","East Ayrshire","","Scotland"
"KA1 1BN","East Ayrshire","","Scotland"
"KA1 1BP","East Ayrshire","","Scotland"
"KA1 1BQ","East Ayrshire","","Scotland"
"KA1 1BS","East Ayrshire","","Scotland"
"KA1 1BT","East Ayrshire","","Scotland"
"KA1 1BU","East Ayrshire","","Scotland"
"KA1 1BW","East Ayrshire","","Scotland"
"KA1 1BX","East Ayrshire","","Scotland"
"KA1 1BY","East Ayrshire","","Scotland"
"KA1 1BZ","East Ayrshire","","Scotland"
"KA1 1DA","East Ayrshire","","Scotland"
"KA1 1DB","East Ayrshire","","Scotland"
"KA1 1DD","East Ayrshire","","Scotland"
"KA1 1DE","East Ayrshire","","Scotland"
"KA1 1DF","East Ayrshire","","Scotland"
"KA1 1DG","East Ayrshire","","Scotland"
"KA1 1DH","East Ayrshire","","Scotland"
"KA1 1DJ","East Ayrshire","","Scotland"
"KA1 1DL","East Ayrshire","","Scotland"
"KA1 1DN","East Ayrshire","","Scotland"
"KA1 1DP","East Ayrshire","","Scotland"
"KA1 1DQ","East Ayrshire","","Scotland"
"KA1 1DS","East Ayrshire","","Scotland"
"KA1 1DT","East Ayrshire","","Scotland"
"KA1 1DU","East Ayrshire","","Scotland"
"KA1 1DX","East Ayrshire","","Scotland"
"KA1 1DY","East Ayrshire","","Scotland"
"KA1 1DZ","East Ayrshire","","Scotland"
"KA1 1EA","East Ayrshire","","Scotland"
"KA1 1EB","East Ayrshire","","Scotland"
"KA1 1ED","East Ayrshire","","Scotland"
"KA1 1EE","East Ayrshire","","Scotland"
