"Postcode","District","Parish","Country"
"OL1 1AA","Oldham","Oldham, unparished area","England"
"OL1 1AB","Oldham","Oldham, unparished area","England"
"OL1 1AD","Oldham","Oldham, unparished area","England"
"OL1 1AE","Oldham","Oldham, unparished area","England"
"OL1 1AF","Oldham","Oldham, unparished area","England"
"OL1 1AG","Oldham","Oldham, unparished area","England"
"OL1 1AH","Oldham","Oldham, unparished area","England"
"OL1 1AJ","Oldham","Oldham, unparished area","England"
"OL1 1AL","Oldham","Oldham, unparished area","England"
"OL1 1AN","Oldham","Oldham, unparished area","England"
"OL1 1AP","Oldham","Oldham, unparished area","England"
"OL1 1AQ","Oldham","Oldham, unparished area","England"
"OL1 1BA","Oldham","Oldham, unparished area","England"
"OL1 1BB","Oldham","Oldham, unparished area","England"
"OL1 1BD","Oldham","Oldham, unparished area","England"
"OL1 1BE","Oldham","Oldham, unparished area","England"
"OL1 1BF","Oldham","Oldham, unparished area","England"
"OL1 1BG","Oldham","Oldham, unparished area","England"
"OL1 1BH","Oldham","Oldham, unparished area","England"
"OL1 1BJ","Oldham","Oldham, unparished area","England"
"OL1 1BL","Oldham","Oldham, unparished area","England"
"OL1 1BN","Oldham","Oldham, unparished area","England"
"OL1 1BP","Oldham","Oldham, unparished area","England"
"OL1 1BQ","Oldham","Oldham, unparished area","England"
"OL1 1BS","Oldham","Oldham, unparished area","England"
"OL1 1BT","Oldham","Oldham, unparished area","England"
"OL1 1BU","Oldham","Oldham, unparished area","England"
"OL1 1BW","Oldham","Oldham, unparished area","England"
"OL1 1BX","Oldham","Oldham, unparished area","England"
"OL1 1BY","Oldham","Oldham, unparished area","England"
"OL1 1BZ","Oldham","Oldham, unparished area","England"
"OL1 1DA","Oldham","Oldham, unparished area","England"
"OL1 1DB","Oldham","Saddleworth","England"
"OL1 1DD","Oldham","Oldham, unparished area","England"
"OL1 1DE","Oldham","Oldham, unparished area","England"
"OL1 1DF","Oldham","Oldham, unparished area","England"
"OL1 1DG","Oldham","Oldham, unparished area","England"
"OL1 1DH","Oldham","Oldham, unparished area","England"
"OL1 1DJ","Oldham","Oldham, unparished area","England"
"OL1 1DL","Oldham","Oldham, unparished area","England"
"OL1 1DN","Oldham","Oldham, unparished area","England"
"OL1 1DP","Oldham","Oldham, unparished area","England"
"OL1 1DQ","Oldham","Oldham, unparished area","England"
"OL1 1DR","Oldham","Oldham, unparished area","England"
"OL1 1DS","Oldham","Oldham, unparished area","England"
"OL1 1DT","Oldham","Oldham, unparished area","England"
"OL1 1DU","Oldham","Oldham, unparished area","England"
"OL1 1DW","Oldham","Oldham, unparished area","England"
"OL1 1DX","Oldham","Oldham, unparished area","England"
"OL1 1DY","Oldham","Oldham, unparished area","England"
"OL1 1DZ","Oldham","Oldham, unparished area","England"
"OL1 1EA","Oldham","Oldham, unparished area","England"
"OL1 1EB","Oldham","Oldham, unparished area","England"
"OL1 1ED","Oldham","Oldham, unparished area","England"
"OL1 1EE","Oldham","Oldham, unparished area","England"
"OL1 1EF","Oldham","Oldham, unparished area","England"
"OL1 1EG","Oldham","Oldham, unparished area","England"
"OL1 1EH","Oldham","Oldham, unparished area","England"
"OL1 1EJ","Oldham","Oldham, unparished area","England"
"OL1 1EL","Oldham","Oldham, unparished area","England"
"OL1 1EN","Oldham","Oldham, unparished area","England"
"OL1 1EP","Oldham","Oldham, unparished area","England"
"OL1 1EQ","Oldham","Oldham, unparished area","England"
"OL1 1ER","Oldham","Oldham, unparished area","England"
"OL1 1ES","Oldham","Oldham, unparished area","England"
"OL1 1ET","Oldham","Oldham, unparished area","England"
"OL1 1EU","Oldham","Oldham, unparished area","England"
"OL1 1EW","Oldham","Oldham, unparished area","England"
"OL1 1EX","Oldham","Oldham, unparished area","England"
"OL1 1EY","Oldham","Oldham, unparished area","England"
"OL1 1EZ","Oldham","Oldham, unparished area","England"
"OL1 1FA","Oldham","Oldham, unparished area","England"
"OL1 1FB","Oldham","Oldham, unparished area","England"
"OL1 1FD","Oldham","Oldham, unparished area","England"
"OL1 1FE","Oldham","Oldham, unparished area","England"
"OL1 1FF","Oldham","Oldham, unparished area","England"
"OL1 1GZ","Oldham","Oldham, unparished area","England"
"OL1 1HA","Oldham","Oldham, unparished area","England"
"OL1 1HB","Oldham","Oldham, unparished area","England"
"OL1 1HD","Oldham","Oldham, unparished area","England"
"OL1 1HE","Oldham","Oldham, unparished area","England"
"OL1 1HF","Oldham","Oldham, unparished area","England"
"OL1 1HG","Oldham","Oldham, unparished area","England"
"OL1 1HH","Oldham","Oldham, unparished area","England"
"OL1 1HJ","Oldham","Oldham, unparished area","England"
"OL1 1HL","Oldham","Oldham, unparished area","England"
"OL1 1HN","Oldham","Oldham, unparished area","England"
"OL1 1HP","Oldham","Oldham, unparished area","England"
"OL1 1HQ","Oldham","Oldham, unparished area","England"
"OL1 1HR","Oldham","Oldham, unparished area","England"
"OL1 1HS","Oldham","Oldham, unparished area","England"
"OL1 1HT","Oldham","Oldham, unparished area","England"
"OL1 1HU","Oldham","Oldham, unparished area","England"
"OL1 1HW","Oldham","Oldham, unparished area","England"
"OL1 1HX","Oldham","Oldham, unparished area","England"
"OL1 1HY","Oldham","Oldham, unparished area","England"
"OL1 1HZ","Oldham","Oldham, unparished area","England"
"OL1 1JA","Oldham","Oldham, unparished area","England"
