"Postcode","District","Parish","Country"
"YO1 0AB","","","England"
"YO1 0AD","","","England"
"YO1 0AE","York","York, unparished area","England"
"YO1 0AF","","","England"
"YO1 0AG","York","York, unparished area","England"
"YO1 0AH","York","York, unparished area","England"
"YO1 0AJ","York","York, unparished area","England"
"YO1 0AL","York","York, unparished area","England"
"YO1 0AN","York","York, unparished area","England"
"YO1 0AP","York","York, unparished area","England"
"YO1 0AQ","York","York, unparished area","England"
"YO1 0AR","York","York, unparished area","England"
"YO1 0AS","York","York, unparished area","England"
"YO1 0AT","York","York, unparished area","England"
"YO1 0AU","York","York, unparished area","England"
"YO1 0AW","York","York, unparished area","England"
"YO1 0AX","York","York, unparished area","England"
"YO1 0AY","York","York, unparished area","England"
"YO1 0AZ","York","York, unparished area","England"
"YO1 0BA","York","York, unparished area","England"
"YO1 0BB","York","York, unparished area","England"
"YO1 0BD","York","York, unparished area","England"
"YO1 0BE","York","York, unparished area","England"
"YO1 0BF","York","York, unparished area","England"
"YO1 0BG","York","York, unparished area","England"
"YO1 0BH","York","York, unparished area","England"
"YO1 0BJ","York","York, unparished area","England"
"YO1 0BL","York","York, unparished area","England"
"YO1 0BN","York","York, unparished area","England"
"YO1 0BP","York","York, unparished area","England"
"YO1 0BQ","York","York, unparished area","England"
"YO1 0BR","York","York, unparished area","England"
"YO1 0BS","York","York, unparished area","England"
"YO1 0BT","York","York, unparished area","England"
"YO1 0BU","York","York, unparished area","England"
"YO1 0BW","York","York, unparished area","England"
"YO1 0BX","York","York, unparished area","England"
"YO1 0BY","York","York, unparished area","England"
"YO1 0BZ","York","York, unparished area","England"
"YO1 0DA","York","York, unparished area","England"
"YO1 0DB","York","York, unparished area","England"
"YO1 0DD","York","York, unparished area","England"
"YO1 0DE","York","York, unparished area","England"
"YO1 0DF","York","York, unparished area","England"
"YO1 0DG","York","York, unparished area","England"
"YO1 0DH","York","York, unparished area","England"
"YO1 0DJ","York","York, unparished area","England"
"YO1 0DL","York","York, unparished area","England"
"YO1 0DN","York","York, unparished area","England"
"YO1 0EA","York","York, unparished area","England"
"YO1 0EB","York","York, unparished area","England"
"YO1 0ED","York","York, unparished area","England"
"YO1 0EE","York","York, unparished area","England"
"YO1 0EF","York","York, unparished area","England"
"YO1 0EG","York","York, unparished area","England"
"YO1 0EH","York","York, unparished area","England"
"YO1 0EJ","York","York, unparished area","England"
"YO1 0EL","York","York, unparished area","England"
"YO1 0EN","York","York, unparished area","England"
"YO1 0EP","York","York, unparished area","England"
"YO1 0EQ","York","York, unparished area","England"
"YO1 0ER","York","York, unparished area","England"
"YO1 0ES","York","York, unparished area","England"
"YO1 0ET","York","York, unparished area","England"
"YO1 0EU","York","York, unparished area","England"
"YO1 0EW","York","York, unparished area","England"
"YO1 0EX","York","York, unparished area","England"
"YO1 0EY","York","York, unparished area","England"
"YO1 0EZ","York","York, unparished area","England"
"YO1 0FA","York","York, unparished area","England"
"YO1 0FB","York","York, unparished area","England"
"YO1 0FD","York","York, unparished area","England"
"YO1 0FE","York","York, unparished area","England"
"YO1 0FF","York","York, unparished area","England"
"YO1 0FG","York","York, unparished area","England"
"YO1 0FJ","York","York, unparished area","England"
"YO1 0FL","York","York, unparished area","England"
"YO1 0FN","York","York, unparished area","England"
"YO1 0FP","York","York, unparished area","England"
"YO1 0FQ","York","York, unparished area","England"
"YO1 0FR","York","York, unparished area","England"
"YO1 0FS","York","York, unparished area","England"
"YO1 0FT","York","York, unparished area","England"
"YO1 0FW","York","York, unparished area","England"
"YO1 0FX","York","York, unparished area","England"
"YO1 0FY","York","York, unparished area","England"
"YO1 0GA","York","York, unparished area","England"
"YO1 0GB","York","York, unparished area","England"
"YO1 0GD","York","York, unparished area","England"
"YO1 0GE","York","York, unparished area","England"
"YO1 0GF","York","York, unparished area","England"
"YO1 0GG","York","York, unparished area","England"
"YO1 0GH","York","York, unparished area","England"
"YO1 0GJ","York","York, unparished area","England"
"YO1 0GL","York","York, unparished area","England"
"YO1 0GN","York","York, unparished area","England"
"YO1 0GP","York","York, unparished area","England"
"YO1 0GQ","York","York, unparished area","England"
"YO1 0GR","York","York, unparished area","England"
"YO1 0GS","York","York, unparished area","England"
"YO1 0GT","York","York, unparished area","England"
"YO1 0GU","York","York, unparished area","England"
"YO1 0GW","York","York, unparished area","England"
"YO1 0GX","York","York, unparished area","England"
"YO1 0GY","York","York, unparished area","England"
"YO1 0GZ","York","York, unparished area","England"
"YO1 0HA","York","York, unparished area","England"
"YO1 0HB","York","York, unparished area","England"
"YO1 0HD","York","York, unparished area","England"
"YO1 0HE","York","York, unparished area","England"
"YO1 0HF","York","York, unparished area","England"
"YO1 0HG","York","York, unparished area","England"
"YO1 0HH","York","York, unparished area","England"
"YO1 0HJ","York","York, unparished area","England"
"YO1 0HL","York","York, unparished area","England"
"YO1 0HN","York","York, unparished area","England"
"YO1 0HP","York","York, unparished area","England"
"YO1 0HQ","York","York, unparished area","England"
"YO1 0HR","York","York, unparished area","England"
"YO1 0HS","York","York, unparished area","England"
"YO1 0HT","York","York, unparished area","England"
"YO1 0HU","York","York, unparished area","England"
"YO1 0HW","York","York, unparished area","England"
"YO1 0HX","York","York, unparished area","England"
"YO1 0HY","York","York, unparished area","England"
"YO1 0HZ","York","York, unparished area","England"
"YO1 0JB","York","York, unparished area","England"
"YO1 0JD","York","York, unparished area","England"
"YO1 0JE","York","York, unparished area","England"
"YO1 0JF","York","York, unparished area","England"
"YO1 0JG","York","York, unparished area","England"
"YO1 0JH","York","York, unparished area","England"
"YO1 0JJ","York","York, unparished area","England"
"YO1 0JL","York","York, unparished area","England"
"YO1 0JN","York","York, unparished area","England"
"YO1 0JP","York","York, unparished area","England"
"YO1 0JQ","York","York, unparished area","England"
"YO1 0JR","York","York, unparished area","England"
"YO1 0JS","York","York, unparished area","England"
"YO1 0JT","York","York, unparished area","England"
"YO1 0JU","York","York, unparished area","England"
"YO1 0JW","York","York, unparished area","England"
"YO1 0JX","York","York, unparished area","England"
"YO1 0JY","York","York, unparished area","England"
"YO1 0JZ","York","York, unparished area","England"
"YO1 0LA","York","York, unparished area","England"
"YO1 0LB","York","York, unparished area","England"
"YO1 0LD","York","York, unparished area","England"
"YO1 0LE","York","York, unparished area","England"
"YO1 0LF","York","York, unparished area","England"
"YO1 0LG","York","York, unparished area","England"
"YO1 0LH","York","York, unparished area","England"
"YO1 0LJ","York","York, unparished area","England"
"YO1 0LL","York","York, unparished area","England"
"YO1 0LN","York","York, unparished area","England"
"YO1 0LP","York","York, unparished area","England"
"YO1 0LQ","York","York, unparished area","England"
"YO1 0LR","York","York, unparished area","England"
"YO1 0LS","York","York, unparished area","England"
"YO1 0LT","York","York, unparished area","England"
"YO1 0LU","York","York, unparished area","England"
